Iteration,accuracy,precision,f1_score,learning_rate,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,subsample
0,0.9853092783505155,0.9896156832298137,0.9709604085784873,0.1,4,log2,4,6,149,0.9
1,0.979381443298969,0.9821824127140395,0.9590582989708002,0.1,20,log2,4,9,94,0.8
2,0.9739690721649484,0.9891867692482614,0.9473366906224745,0.05,10,log2,3,2,51,1.0
3,0.7422680412371134,0.0,0.0,0.001,30,sqrt,2,2,176,0.9
4,0.9765463917525773,0.9779168509509066,0.9533564522908785,0.05,4,log2,4,5,78,0.8
5,0.9672680412371134,0.9965983224603914,0.9323914619777032,0.01,30,sqrt,1,5,94,1.0
6,0.9786082474226804,0.9841593741358239,0.9573695106689655,0.1,30,log2,1,8,141,1.0
7,0.8943298969072165,1.0,0.7421363745680544,0.01,20,log2,3,6,51,0.9
8,0.9688144329896907,0.9813458622079743,0.9367102720380556,0.01,3,sqrt,3,6,143,0.8
9,0.9755154639175257,0.989191514029527,0.9506501469118291,0.05,10,log2,1,9,80,0.8
10,0.9811855670103092,0.9783358895705521,0.9629083180289304,0.1,4,log2,4,4,111,1.0
11,0.7422680412371134,0.0,0.0,0.001,5,log2,4,7,65,1.0
12,0.7422680412371134,0.0,0.0,0.001,30,sqrt,3,8,108,1.0
13,0.7422680412371134,0.0,0.0,0.001,5,sqrt,4,2,158,0.9
14,0.7422680412371134,0.0,0.0,0.001,30,sqrt,2,2,67,0.9
15,0.9701030927835051,0.9889375657749823,0.939065094698746,0.01,4,sqrt,1,6,122,1.0
16,0.984278350515464,0.9785774851613547,0.9691974624090806,0.1,3,sqrt,2,8,192,0.9
17,0.9747422680412371,0.9880791722896987,0.9490170821950966,0.01,5,sqrt,3,7,149,1.0
18,0.9788659793814433,0.9761062251667032,0.9582059091630293,0.05,4,sqrt,4,4,68,1.0
19,0.9796391752577319,0.9781621243885394,0.9597195953170383,0.05,20,sqrt,4,2,190,0.9
20,0.9582474226804123,0.9988399071925754,0.9118139526090097,0.01,20,log2,1,7,110,0.9
21,0.7422680412371134,0.0,0.0,0.001,3,sqrt,4,2,109,1.0
22,0.7422680412371134,0.0,0.0,0.001,5,log2,2,9,92,0.8
23,0.7422680412371134,0.0,0.0,0.001,30,sqrt,1,2,189,0.8
24,0.9755154639175257,0.9798364240019435,0.9510670896457021,0.05,30,sqrt,2,3,60,0.9
