Iteration,accuracy,precision,f1_score,activation,alpha,hidden_layer_sizes,learning_rate,max_iter,solver
0,0.8556701030927836,0.4623552123552124,0.47053045186640474,relu,0.0004899715405559203,"(50, 50, 50)",constant,1349,sgd
1,0.9680412371134021,0.9345167420991791,0.9384619188188232,relu,0.00044984119473488005,"(100,)",adaptive,1806,adam
2,0.9641752577319588,0.9485618221258134,0.9290187304890739,tanh,0.0007542030903995467,"(50, 100, 50)",constant,1798,sgd
3,0.8108247422680412,0.4777397260273973,0.3522727272727273,tanh,0.0009733191259264693,"(50, 50, 50)",adaptive,1385,adam
4,0.9688144329896907,0.9161072988591747,0.9416504739090856,relu,0.0005476105431785952,"(50, 100, 50)",constant,1291,adam
5,0.838659793814433,0.4270833333333333,0.438715953307393,tanh,0.0008887812065924795,"(50, 50, 50)",adaptive,1872,adam
6,0.8567010309278351,0.468503937007874,0.4722222222222222,relu,0.0009164879372894918,"(50, 50, 50)",adaptive,1224,sgd
7,0.8072164948453608,0.846938775510204,0.3986432944085965,tanh,0.0005152572143204067,"(50, 50, 50)",adaptive,1013,adam
8,0.9448453608247422,0.8884089823220258,0.8950298307561184,tanh,0.0007348155747400856,"(100,)",constant,1893,adam
9,0.8608247422680413,0.48662551440329216,0.47971602434077076,relu,0.00040230806114621123,"(100,)",constant,1177,sgd
10,0.968298969072165,0.9434376278118609,0.9381607684529828,tanh,0.00021238616454419794,"(50, 50, 50)",constant,1976,sgd
11,0.9762886597938144,0.9567503886513797,0.9538655624502016,tanh,0.0007041921725872,"(50, 100, 50)",adaptive,1634,sgd
12,0.9791237113402061,0.9590738877710709,0.9595249893105612,relu,0.0009746734781355031,"(50, 100, 50)",constant,1316,adam
13,0.8567010309278351,0.468503937007874,0.4722222222222222,relu,0.000916807221775153,"(50, 50, 50)",adaptive,1704,sgd
14,0.9713917525773196,0.9564006678077861,0.9435833194828326,tanh,0.0010051438685061737,"(50, 50, 50)",constant,1106,sgd
15,0.8515463917525774,0.4824945295404814,0.4608150470219436,tanh,0.00026536774499698627,"(100,)",constant,1545,adam
16,0.9744845360824742,0.9555605993685692,0.9502448878894749,tanh,0.0006275514855629194,"(50, 50, 50)",adaptive,1689,sgd
17,0.9667525773195876,0.9628728967404557,0.9331867707663886,tanh,0.0003222099170458858,"(50, 100, 50)",constant,1249,sgd
18,0.8608247422680413,0.48662551440329216,0.47971602434077076,relu,0.0006933801081335114,"(100,)",constant,1426,sgd
19,0.9760309278350515,0.9585429190692348,0.9532420654580751,tanh,0.000333258477088487,"(100,)",constant,1255,sgd
20,0.8572164948453609,0.4712301587301587,0.47310756972111556,relu,0.0008953088137007334,"(50, 50, 50)",constant,1721,sgd
21,0.8791237113402062,0.8676508344030809,0.7229389444636082,tanh,0.00024655070434907234,"(50, 50, 50)",constant,1428,adam
22,0.9770618556701031,0.9606112283456838,0.9552700440029767,tanh,0.0002834737960551236,"(100,)",constant,1279,sgd
23,0.8734536082474227,0.986013986013986,0.6210551828855353,tanh,0.00018433959780966516,"(100,)",constant,1653,adam
24,0.9621134020618556,0.8994866959983239,0.9293857521364332,relu,0.0010006526165885856,"(50, 100, 50)",constant,1417,sgd
